request_id,req_type,width,height,steps,seed,send_ts,arrival_ts,return_ts,backend,status_code,ok,e2e_s,error
baseline-00195,1536x1536_35,1536,1536,35,700195,1776515343.2701342,,1776516239.0632222,,200,True,895.7930897159968,
baseline-00196,1024x1024_25,1024,1024,25,700196,1776515343.2746732,,1776516050.5673048,,200,True,707.2926332079805,
baseline-00197,512x512_20,512,512,20,700197,1776515343.2792742,,1776516270.6756234,,200,True,927.3963505160064,
baseline-00198,1536x1536_35,1536,1536,35,700198,1776515343.283901,,1776516676.3821774,,200,True,1333.0982787539251,
baseline-00199,1024x1024_25,1024,1024,25,700199,1776515343.288595,,1776516399.4156854,,200,True,1056.127091921051,
baseline-00200,1536x1536_35,1536,1536,35,700200,1776515343.293352,,1776516589.968109,,200,True,1246.674758635927,
baseline-00201,1536x1536_35,1536,1536,35,700201,1776515343.298131,,1776516320.9808862,,200,True,977.6827572640032,
baseline-00202,1024x1024_25,1024,1024,25,700202,1776515343.3029602,,1776516074.8557348,,200,True,731.5527769369073,
baseline-00203,768x768_20,768,768,20,700203,1776515343.3078418,,1776516287.7076137,,200,True,944.3997729551047,
baseline-00204,1024x1024_25,1024,1024,25,700204,1776515343.3127518,,1776516699.7835495,,200,True,1356.470799111994,
baseline-00205,768x768_20,768,768,20,700205,1776515343.3179193,,1776516415.307076,,200,True,1071.9891576309456,
baseline-00206,1024x1024_25,1024,1024,25,700206,1776515343.322958,,1776516613.090032,,200,True,1269.7670760670444,
baseline-00207,512x512_20,512,512,20,700207,1776515343.3280008,,1776516337.2844357,,200,True,993.9564365469851,
baseline-00208,768x768_20,768,768,20,700208,1776515343.3331032,,1776516090.375948,,200,True,747.0428463879507,
baseline-00209,1536x1536_35,1536,1536,35,700209,1776515343.3382297,,1776516371.1670592,,200,True,1027.8288313169032,
baseline-00210,768x768_20,768,768,20,700210,1776515343.3434088,,1776516716.4447415,,200,True,1373.101334008039,
baseline-00211,1024x1024_25,1024,1024,25,700211,1776515343.3486116,,1776516439.831552,,200,True,1096.4829417750007,
baseline-00212,1024x1024_25,1024,1024,25,700212,1776515343.3538606,,1776516637.1578596,,200,True,1293.8040003470378,
baseline-00213,1024x1024_25,1024,1024,25,700213,1776515343.3591816,,1776516362.770396,,200,True,1019.4112156949705,
baseline-00214,1536x1536_35,1536,1536,35,700214,1776515343.3645282,,1776516173.5593429,,200,True,830.1948165930808,
baseline-00215,1536x1536_35,1536,1536,35,700215,1776515343.3699214,,1776516453.2450726,,200,True,1109.8751531939488,
baseline-00216,1024x1024_25,1024,1024,25,700216,1776515343.3753734,,1776516740.7401154,,200,True,1397.364743273938,
baseline-00217,1024x1024_25,1024,1024,25,700217,1776515343.380858,,1776516464.0550833,,200,True,1120.674227096024,
baseline-00218,768x768_20,768,768,20,700218,1776515343.3863652,,1776516652.5889654,,200,True,1309.2026013529394,
baseline-00219,768x768_20,768,768,20,700219,1776515343.3919306,,1776516382.4908893,,200,True,1039.0989598740125,
baseline-00220,1536x1536_35,1536,1536,35,700220,1776515343.3975463,,1776516255.5865808,,200,True,912.189037507982,
baseline-00221,1024x1024_25,1024,1024,25,700221,1776515343.40322,,1776516476.4292078,,200,True,1133.0259902089601,
baseline-00222,1024x1024_25,1024,1024,25,700222,1776515343.4089212,,1776516765.095461,,200,True,1421.6865411390318,
baseline-00223,1024x1024_25,1024,1024,25,700223,1776515343.4146783,,1776516488.1781194,,200,True,1144.7634428129531,
baseline-00224,512x512_20,512,512,20,700224,1776515343.4204795,,1776516667.93946,,200,True,1324.518981861067,
baseline-00225,1024x1024_25,1024,1024,25,700225,1776515343.4263148,,1776516407.034694,,200,True,1063.6083811150165,
baseline-00226,1024x1024_25,1024,1024,25,700226,1776515343.4322066,,1776516279.0011106,,200,True,935.5689055230469,
baseline-00227,1536x1536_35,1536,1536,35,700227,1776515343.4381406,,1776516559.4562228,,200,True,1216.0180836779764,
baseline-00228,768x768_20,768,768,20,700228,1776515343.4441116,,1776516781.7151234,,200,True,1438.271013346035,
baseline-00229,1536x1536_35,1536,1536,35,700229,1776515343.4501388,,1776516571.9066367,,200,True,1228.4565001669107,
baseline-00230,512x512_20,512,512,20,700230,1776515343.4562027,,1776516683.8512492,,200,True,1340.3950481530046,
baseline-00231,768x768_20,768,768,20,700231,1776515343.4622955,,1776516424.1379216,,200,True,1080.6756276179804,
baseline-00232,1024x1024_25,1024,1024,25,700232,1776515343.468667,,1776516303.1140144,,200,True,959.6453487949912,
baseline-00233,1024x1024_25,1024,1024,25,700233,1776515343.4748876,,1776516583.1295915,,200,True,1239.6547053179238,
baseline-00234,768x768_20,768,768,20,700234,1776515343.4811409,,1776516799.0611613,,200,True,1455.5800221670652,
baseline-00235,512x512_20,512,512,20,700235,1776515343.4874291,,1776516586.295808,,200,True,1242.8083803770132,
baseline-00236,1536x1536_35,1536,1536,35,700236,1776515343.4937613,,1776516767.0061424,,200,True,1423.5123829999939,
baseline-00237,768x768_20,768,768,20,700237,1776515343.5001423,,1776516441.106145,,200,True,1097.6060036340496,
baseline-00238,1024x1024_25,1024,1024,25,700238,1776515343.5065536,,1776516327.4479933,,200,True,983.9414414179046,
